epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,347.966,0.59064,2.29469,1.27351,0.6281,0.7293,0.67222,0.52146,0.63253,2.1282,1.13138,8e-05,8e-05,8e-05
2,689.207,0.78516,1.52355,1.30952,0.37122,0.39773,0.25629,0.10267,1.68418,5.0772,2.00774,0.000176436,0.000176436,0.000176436
3,1037.41,0.96469,1.46373,1.44891,0.00586,0.44318,0.00503,0.00179,3.36562,2461.31,7.09276,0.000268912,0.000268912,0.000268912
4,1409.04,1.25829,1.71558,1.65218,0,0,0,0,3.09221,181956,2511.86,0.000357428,0.000357428,0.000357428
5,1769.08,1.37434,1.75661,1.80284,0.00145,0.17045,0.00098,0.00027,3.51375,42351.8,313.449,0.000441984,0.000441984,0.000441984
6,2128.22,1.56642,2.05482,1.88016,0.01786,0.39773,0.01157,0.00252,3.19324,1050.17,124.591,0.00052258,0.00052258,0.00052258
7,2486.26,1.4654,2.0323,1.88245,0.01585,0.5,0.01103,0.00309,3.12428,632.755,18.8148,0.000599216,0.000599216,0.000599216
8,2874.08,1.46924,1.97833,1.8754,0.00489,0.27273,0.00284,0.00177,3.25096,5426.39,261.081,0.000671892,0.000671892,0.000671892
9,3254.09,1.67147,2.07034,1.99662,0.00141,0.13636,0.00094,0.00032,3.98193,147633,7288.52,0.000740608,0.000740608,0.000740608
10,3622.03,1.63346,2.09373,1.98229,0,0,0,0,4.69366,2.16044e+06,34649.7,0.000805364,0.000805364,0.000805364
11,3975.53,1.67341,2.28029,2.03481,0,0,0,0,5.2442,1.59757e+06,12610.2,0.00086616,0.00086616,0.00086616
12,4323.67,1.67704,1.9417,1.98171,9e-05,0.01136,5e-05,2e-05,4.55735,1.40032e+07,172040,0.000922996,0.000922996,0.000922996
13,4671.55,1.94023,2.2514,2.2226,9e-05,0.01136,5e-05,1e-05,5.02884,1.708e+08,71926.1,0.000975872,0.000975872,0.000975872
14,5003.49,1.77542,2.00326,2.04621,9e-05,0.01136,5e-05,1e-05,5.02884,1.708e+08,71926.1,0.00102479,0.00102479,0.00102479
15,5366.3,1.85088,2.04165,2.15607,9e-05,0.01136,5e-05,0,5.23592,4.84361e+06,9649.36,0.00106974,0.00106974,0.00106974
16,5726.02,1.71111,1.95778,1.99666,0.00119,0.11364,0.00076,0.00021,4.76029,20312.7,11983.3,0.00111074,0.00111074,0.00111074
17,6073.39,1.56881,1.93502,1.98556,0.00027,0.03409,0.00014,2e-05,4.41243,2.72825e+06,77121.5,0.00114778,0.00114778,0.00114778
18,6435.61,1.75155,2.05384,2.08207,0.00027,0.03409,0.00014,2e-05,4.41243,2.72825e+06,77121.5,0.00118085,0.00118085,0.00118085
19,6777.44,1.63882,1.90241,1.97479,0.00045,0.05682,0.00027,6e-05,4.24988,792788,14265,0.00120997,0.00120997,0.00120997
20,7113.43,1.56579,1.82465,1.97596,0.00054,0.06818,0.00034,0.00013,5.0749,84004.2,2101.44,0.00123512,0.00123512,0.00123512
