epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,282.635,1.2843,3.08929,1.93456,0.31327,0.37838,0.31319,0.17692,1.7412,7.22579,2.5681,0.00012,0.00012,0.00012
2,564.971,1.64899,2.90845,2.2184,0.19886,0.13514,0.06105,0.01686,2.8972,6.75041,3.6691,0.000258713,0.000258713,0.000258713
3,846.831,2.39077,3.11955,2.85515,0.00348,0.02703,0.00097,0.00021,4.57036,94.8748,12.2017,0.00039604,0.00039604,0.00039604
4,62335.6,2.26276,2.7802,2.6468,0.00061,0.16216,0.00034,7e-05,4.86915,24927.4,123.076,0.000531981,0.000531981,0.000531981
5,62594.5,2.12126,3.29118,2.61498,0,0,0,0,4.51383,539111,3500.24,0.000666536,0.000666536,0.000666536
6,62859.6,2.22282,2.84224,2.66674,0.00169,0.21622,0.00105,0.00018,4.72796,22736.2,7398.82,0.000799705,0.000799705,0.000799705
7,63094.6,2.54362,2.74085,2.96915,0.00073,0.10811,0.00042,0.0001,4.96493,5.25549e+06,439330,0.000931488,0.000931488,0.000931488
8,63340.3,2.43808,2.89806,2.94359,0,0,0,0,0,0,0,0.00106188,0.00106188,0.00106188
9,63582.9,2.59382,2.87464,2.9523,0,0,0,0,0.00021,2.32331e+09,173.966,0.0011909,0.0011909,0.0011909
10,63825.8,2.59279,2.86516,2.93555,0,0,0,0,0,3.85108e+07,0,0.00131852,0.00131852,0.00131852
11,64065,2.44711,2.73923,2.85776,0,0,0,0,4.5654,2.05816e+09,4.95311e+07,0.00144476,0.00144476,0.00144476
12,64317.6,2.42238,2.71585,2.93099,0.0095,0.67568,0.00835,0.00285,3.16675,8.34616e+08,3.62974e+07,0.00156961,0.00156961,0.00156961
13,64569.9,2.44064,2.62875,2.77033,0.0095,0.67568,0.00835,0.00285,3.16675,8.34616e+08,3.62974e+07,0.00169308,0.00169308,0.00169308
14,64843.1,2.28298,2.59405,2.77158,9e-05,0.02703,5e-05,3e-05,3.01697,1.67116e+09,2.88676e+07,0.00181516,0.00181516,0.00181516
15,65102.9,2.53841,2.67843,2.80723,0.0081,0.67568,0.00707,0.00238,3.15823,9.40542e+08,2.56166e+07,0.0018614,0.0018614,0.0018614
16,65367.8,2.4963,2.69933,2.73209,0.0081,0.67568,0.00707,0.00238,3.15823,9.40542e+08,2.56166e+07,0.0018515,0.0018515,0.0018515
17,65645.4,2.27326,2.56176,2.65042,0,0,0,0,3.28256,3.47038e+09,4.73422e+06,0.0018416,0.0018416,0.0018416
18,65920.2,2.17907,2.4833,2.60175,0,0,0,0,3.28256,3.47038e+09,4.73422e+06,0.0018317,0.0018317,0.0018317
19,66172.1,2.4202,2.56033,2.76636,0,0,0,0,4.43174,4.82867e+11,6.72374e+07,0.0018218,0.0018218,0.0018218
20,66448.3,2.41472,2.74921,2.77851,0,0,0,0,1.62224,2.51065e+09,35306.2,0.0018119,0.0018119,0.0018119
21,66722.5,2.30154,2.51196,2.78818,0,0,0,0,1.62224,2.51065e+09,35306.2,0.001802,0.001802,0.001802
