epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.667,1.71329,3.52868,2.17543,0.72112,0.83866,0.83836,0.66839,0.59282,6.46904,1.25776,8e-05,8e-05,8e-05
2,94.5458,1.41317,2.32663,1.98016,0.66801,0.45946,0.54998,0.34931,1.09688,8.09807,1.64847,0.000178218,0.000178218,0.000178218
3,140.295,1.53874,2.18436,2.06076,0.63567,0.78378,0.60525,0.20428,1.69194,4.595,2.29066,0.000274456,0.000274456,0.000274456
4,187.041,1.40395,1.9122,1.92559,0.77048,0.83784,0.87323,0.508,1.27494,3.74525,1.90297,0.000368714,0.000368714,0.000368714
5,230.464,1.21816,1.64164,1.6935,0.53407,0.46483,0.51305,0.30282,1.32963,4.1915,1.98123,0.000460992,0.000460992,0.000460992
6,274.144,1.39786,1.79788,1.85791,0.80197,0.87577,0.86593,0.49162,1.2953,4.3986,1.96847,0.00055129,0.00055129,0.00055129
7,318.971,1.35301,1.51125,1.81768,0.81604,0.86486,0.91872,0.40657,1.62174,4.32482,2.52489,0.000639608,0.000639608,0.000639608
8,364.395,1.41253,1.46741,1.89803,0.6356,0.78378,0.79827,0.40389,1.44924,2.9845,2.18978,0.000725946,0.000725946,0.000725946
9,408.827,1.40232,1.51738,1.85162,0.74016,0.91892,0.8723,0.44656,1.40928,1.99468,2.22202,0.000810304,0.000810304,0.000810304
10,452.457,1.39177,1.39066,1.86133,0.60903,0.80006,0.81862,0.31501,1.73314,5.97415,2.674,0.000892682,0.000892682,0.000892682
11,496.13,1.33355,1.3463,1.72084,0.52336,0.72973,0.72837,0.35303,1.38116,5.75893,2.22691,0.00097308,0.00097308,0.00097308
12,540.002,1.52256,1.44538,2.06153,0.26097,0.89189,0.71088,0.32544,1.45788,12.5636,2.42729,0.0010515,0.0010515,0.0010515
13,583.832,1.40077,1.32713,1.92453,0.2096,0.67568,0.27326,0.08613,2.24355,10.6449,4.39654,0.00112794,0.00112794,0.00112794
14,627.156,1.48011,1.30711,1.85997,0.2096,0.67568,0.27326,0.08613,2.24355,10.6449,4.39654,0.00120239,0.00120239,0.00120239
15,670.689,1.58958,1.4448,1.96185,0.26491,0.67568,0.34582,0.1408,2.27576,5.71132,3.65553,0.00127487,0.00127487,0.00127487
16,714.104,1.4784,1.34111,1.90281,0.43855,0.78378,0.57447,0.25534,1.96884,5.33054,2.87352,0.00134537,0.00134537,0.00134537
17,758.176,1.32344,1.31859,1.7474,0.27379,0.94595,0.57814,0.24173,1.77245,14.0557,2.53471,0.00141389,0.00141389,0.00141389
18,802.099,1.37051,1.28741,1.85786,0.27379,0.94595,0.57814,0.24173,1.77245,14.0557,2.53471,0.00148043,0.00148043,0.00148043
19,846.393,1.42433,1.27793,1.83432,0.43415,0.89189,0.78164,0.40405,1.72043,9.399,2.59029,0.00154498,0.00154498,0.00154498
20,890.789,1.66146,1.40667,2.12147,0.58655,0.67568,0.67952,0.31546,1.74788,4.06362,2.736,0.00160756,0.00160756,0.00160756
21,934.204,1.5906,1.44043,2.11346,0.58655,0.67568,0.67952,0.31546,1.74788,4.06362,2.736,0.001604,0.001604,0.001604
